Recall,Precision,Threshold
1.0,0.0001003331059116266,8.871270676494586e-18
1.0,0.00010033511929845685,8.87498681119509e-18
1.0,0.00010033713276609407,8.8936980454171e-18
1.0,0.00010033914631454315,8.912043025111919e-18
1.0,0.00010034115994380895,9.21816280129176e-18
1.0,0.00010034317365389633,9.280609019783507e-18
1.0,0.00010034518744481015,9.380125513656335e-18
1.0,0.00010034720131655528,9.480252237920613e-18
1.0,0.0001003492152691366,9.631363412276391e-18
1.0,0.00010035122930255896,9.68960814673847e-18
1.0,0.00010035324341682723,1.0181105909115995e-17
1.0,0.00010035525761194628,1.0211818440544231e-17
1.0,0.00010035727188792099,1.0516560025969889e-17
1.0,0.00010035928624475623,1.0592703337246513e-17
1.0,0.00010036130068245685,1.0855569402315266e-17
1.0,0.00010036331520102771,1.0860252266041078e-17
1.0,0.00010036532980047372,1.145201735540939e-17
1.0,0.00010036734448079973,1.1498963982065616e-17
1.0,0.0001003693592420106,1.1655256521516607e-17
1.0,0.00010037137408411121,1.1796740936507772e-17
1.0,0.00010037338900710643,1.183583749058953e-17
1.0,0.00010037540401100114,1.1886559371710136e-17
1.0,0.00010037741909580021,1.2128380479244415e-17
1.0,0.0001003794342615085,1.2467876086804697e-17
1.0,0.0001003814495081309,1.28979576000449e-17
1.0,0.00010038346483567226,1.331856611104311e-17
1.0,0.00010038548024413749,1.3491027761093124e-17
1.0,0.00010038749573353143,1.3735776505731499e-17
1.0,0.00010038951130385897,1.3922481972612613e-17
1.0,0.00010039152695512498,1.394795757190837e-17
1.0,0.00010039354268733435,1.417447426015222e-17
1.0,0.00010039555850049194,1.4188873271679578e-17
1.0,0.00010039757439460262,1.4215061700172965e-17
1.0,0.0001003995903696713,1.4372678282384232e-17
1.0,0.00010040160642570282,1.457962823220582e-17
1.0,0.00010040362256270207,1.5002943767861774e-17
1.0,0.00010040563878067392,1.508566266886953e-17
1.0,0.00010040765507962327,1.5128314873094073e-17
1.0,0.00010040967145955498,1.5215728177507013e-17
1.0,0.00010041168792047395,1.524337180980203e-17
1.0,0.00010041370446238502,1.5261200887569188e-17
1.0,0.00010041572108529311,1.537577028932635e-17
1.0,0.00010041773778920309,1.5439829152972622e-17
1.0,0.00010041975457411982,1.5788063245705598e-17
1.0,0.0001004217714400482,1.5962914600156732e-17
1.0,0.00010042378838699311,1.6018906308870562e-17
1.0,0.00010042580541495943,1.6420424552162898e-17
1.0,0.00010042782252395203,1.6747193630066793e-17
1.0,0.00010042983971397581,1.679009963448713e-17
1.0,0.00010043185698503566,1.692010899643287e-17
1.0,0.00010043387433713643,1.7010600649705504e-17
1.0,0.00010043589177028303,1.7109851773462207e-17
1.0,0.00010043790928448034,1.7692033666244587e-17
1.0,0.00010043992687973324,1.7823952917788414e-17
1.0,0.0001004419445560466,1.826735179278231e-17
1.0,0.00010044396231342534,1.8269908094342973e-17
1.0,0.00010044598015187433,1.8331592637171042e-17
1.0,0.00010044799807139843,1.919794001078792e-17
1.0,0.00010045001607200258,1.951960764171081e-17
1.0,0.00010045203415369161,1.954974886636825e-17
